Ward,Booking Cancellation Rate,lat,long
Shantala Nagar,43.6%,15.346893,75.11025555239311
Doddakanahalli,40.2%,12.8877198,77.69982279254712
Agara,33.8%,42.0376325,43.8203744
Koramangala,34.9%,12.9340114,77.6222304
Adugodi,40.0%,12.9428472,77.6104155
Suddagunte Palya,44.1%,12.9303921,77.60755493947676
Vasanth Nagar,36.9%,12.9934283,77.5902145
Bellanduru,41.4%,12.9292114,77.6770417
Hoysala Nagar,33.4%,12.9802093,77.6273767
Byrasandra,32.6%,13.1044845,77.32703495262322
Old Thippasandra,34.4%,12.9720823,77.6464991
Marathahalli,45.1%,12.9552572,77.6984163
Domlur,34.7%,12.9624669,77.6381958
HRBR Layout,30.7%,13.0234478,77.6282108
Sampangiram Nagar,46.9%,12.9764099,77.59121562190366
Madivala,40.4%,13.0247543,77.9280389
Gandhinagar,37.4%,23.2232877,72.6492267
Aramane Nagara,35.2%,13.01442405,77.57549241386118
Jakkuru,38.4%,13.074050549999999,77.61607728825783
Vinayakanagar,37.0%,12.9645584,77.7541058
J P Nagar,35.2%,10.6490476,78.4888978
Whitefield,39.2%,44.3731286,-71.6119661
Ejipura,39.0%,12.945245,77.6269144
Jeevanbhima Nagar,39.3%,12.96503885,77.6510736379277
Kempapura,35.8%,13.1007666,77.50068672771266
Shakambari Nagar,31.8%,12.9135785,77.5759435
New Thippasandra,33.5%,12.9736956,77.6536931
Hudi,41.5%,35.7083843,112.6020468
Ulsoor,40.4%,12.9778793,77.6246697
Horamavu,37.0%,13.0273312,77.6601508
C V Raman Nagar,39.6%,12.9856478,77.6649767
BTM Layout,41.7%,12.9151772,77.6102821
AECS Layout,40.8%,12.964118,77.7130369
Banasavadi,32.9%,12.6061076,76.9217046
Hennur,36.3%,13.037077,77.6413572
N S Palya,35.1%,12.92839245,77.6070299385418
Dodda Nekkundi,39.4%,12.9686859,77.6966092649896
Jnana Bharathi,31.1%,12.9433485,77.5112326
Sarakki,33.8%,12.9087511,77.5798635
Subramanyapura,31.8%,12.8963963,77.5377864
Pulikeshinagar,33.4%,12.9957443,77.61173604711666
Kalkere,36.8%,12.8315086,77.58851540951687
Ibluru,37.3%,12.91216645,77.65464311500888
